tick,day,light,o2,co2,plants,herbivores,carnivores,insects,avgWater,drinkableCells
0,true,100,100,50,1800,180,20,200,33.65,62500
1,false,0,95.94,50.06,1837,180,20,200,33.61,62500
2,true,100,93.23,49.6,1806,237,24,261,33.59,62500
3,false,0,89.7,49.7,1748,246,24,270,33.57,62497
4,true,100,87.41,49.32,1741,256,24,280,33.54,62405
5,false,0,84.34,49.45,1688,258,24,282,33.52,62366
6,true,100,82.45,49.11,1694,264,24,288,33.5,62312
7,false,0,79.77,49.26,1666,284,24,308,33.47,62272
8,true,100,78.23,48.94,1673,290,24,314,33.45,62103
9,false,0,75.88,49.11,1628,294,24,318,33.42,62029
10,true,100,74.62,48.82,1644,253,23,276,33.4,61963
11,false,0,72.58,48.99,1597,241,23,264,33.38,61889
12,true,100,71.58,48.71,1624,231,20,251,33.37,61784
13,false,0,69.78,48.88,1579,216,18,234,33.35,61715
14,true,100,69.01,48.6,1601,179,17,196,33.34,61626
15,false,0,67.43,48.76,1563,157,15,172,33.33,61544
16,true,100,66.85,48.48,1597,141,11,152,33.32,61392
17,false,0,65.46,48.64,1559,123,9,132,33.31,61314
18,true,100,65.05,48.36,1581,109,6,115,33.3,61211
19,false,0,63.81,48.52,1543,91,5,96,33.29,61154
20,true,100,63.53,48.24,1578,85,4,89,33.28,60641
21,false,0,62.43,48.4,1540,69,4,73,33.27,60651
22,true,100,62.26,48.13,1575,65,4,69,33.26,60608
23,false,0,61.26,48.3,1526,52,2,54,33.25,60560
24,true,100,61.19,48.03,1562,48,2,50,33.24,59627
25,false,0,60.28,48.2,1529,43,2,45,33.24,59700
26,true,100,60.29,47.93,1569,37,2,39,33.23,59728
27,false,0,59.46,48.11,1530,36,2,38,33.24,59765
28,true,100,59.53,47.85,1569,35,2,37,33.25,59560
29,false,0,58.76,48.03,1520,33,2,35,33.26,59626
30,true,100,58.89,47.78,1566,30,2,32,33.27,59655
31,false,0,58.17,47.96,1527,28,2,30,33.28,59692
32,true,100,58.35,47.71,1565,28,2,30,33.29,59089
33,false,0,57.67,47.91,1519,26,2,28,33.31,59126
34,true,100,57.89,47.66,1551,24,2,26,33.32,59197
35,false,0,57.25,47.86,1518,23,2,25,33.31,59234
36,true,100,57.5,47.62,1558,22,2,24,33.31,59081
37,false,0,56.9,47.81,1532,21,2,23,33.33,59162
38,true,100,57.18,47.57,1564,20,2,22,33.33,59184
39,false,0,56.6,47.77,1530,20,2,22,33.34,59263
40,true,100,56.91,47.53,1581,17,2,19,33.35,58639
41,false,0,56.35,47.74,1525,17,2,19,33.36,58722
42,true,100,56.68,47.5,1565,16,2,18,33.36,58776
43,false,0,56.14,47.71,1523,16,2,18,33.36,58836
44,true,100,56.49,47.47,1563,15,2,17,33.37,58705
45,false,0,55.96,47.68,1523,15,2,17,33.39,58760
46,true,100,56.32,47.45,1565,15,2,17,33.39,58804
47,false,0,55.81,47.66,1517,15,2,17,33.39,58900
48,true,100,56.18,47.43,1569,15,2,17,33.42,58406
49,false,0,55.68,47.64,1520,14,2,16,33.43,58492
50,true,100,56.06,47.42,1563,14,2,16,33.44,58513
51,false,0,55.57,47.63,1519,14,2,16,33.45,58540
52,true,100,55.96,47.4,1558,14,2,16,33.46,58448
53,false,0,55.48,47.61,1516,14,2,16,33.48,58502
54,true,100,55.87,47.39,1554,13,2,15,33.49,58588
55,false,0,55.4,47.6,1520,13,2,15,33.5,58644
56,true,100,55.8,47.38,1569,13,2,15,33.52,58194
57,false,0,55.33,47.59,1519,12,2,14,33.53,58266
58,true,100,55.74,47.37,1556,12,2,14,33.54,58316
59,false,0,55.28,47.59,1516,12,2,14,33.55,58434
60,true,100,55.69,47.36,1580,12,2,14,33.56,58409
61,false,0,55.23,47.58,1525,12,2,14,33.57,58465
62,true,100,55.65,47.36,1564,12,2,14,33.6,58597
63,false,0,55.19,47.57,1515,10,2,12,33.61,58655
64,true,100,55.61,47.35,1553,10,2,12,33.62,58260
65,false,0,55.16,47.57,1524,10,2,12,33.64,58325
66,true,100,55.58,47.34,1564,10,2,12,33.65,58413
67,false,0,55.13,47.56,1517,10,2,12,33.67,58458
68,true,100,55.56,47.34,1559,10,2,12,33.69,58414
69,false,0,55.11,47.56,1514,10,2,12,33.69,58416
70,true,100,55.53,47.34,1546,10,2,12,33.71,58510
71,false,0,55.09,47.55,1518,10,2,12,33.73,58555
72,true,100,55.51,47.33,1561,10,2,12,33.75,58165
73,false,0,55.07,47.55,1510,7,2,9,33.77,58245
74,true,100,55.5,47.33,1539,7,2,9,33.78,58291
75,false,0,55.05,47.55,1509,7,2,9,33.79,58398
76,true,100,55.48,47.33,1556,7,2,9,33.8,58358
77,false,0,55.04,47.55,1520,7,2,9,33.83,58436
78,true,100,55.47,47.32,1559,7,2,9,33.84,58491
79,false,0,55.03,47.54,1494,7,2,9,33.86,58518
80,true,100,55.45,47.33,1522,7,2,9,33.88,58188
81,false,0,55.01,47.54,1502,7,2,9,33.9,58268
82,true,100,55.44,47.33,1530,7,2,9,33.93,58326
83,false,0,55,47.54,1495,6,2,8,33.95,58372
84,true,100,55.42,47.33,1525,6,2,8,33.97,58405
85,false,0,54.99,47.55,1503,6,2,8,33.99,58506
86,true,100,55.42,47.33,1532,6,2,8,34,58564
87,false,0,54.98,47.55,1497,6,2,8,34.01,58582
88,true,100,55.41,47.33,1537,6,2,8,34.02,58295
89,false,0,54.97,47.55,1503,6,2,8,34.04,58292
90,true,100,55.4,47.33,1534,6,2,8,34.06,58330
91,false,0,54.97,47.55,1504,6,2,8,34.08,58375
92,true,100,55.4,47.33,1533,6,2,8,34.09,58372
93,false,0,54.96,47.55,1490,5,2,7,34.09,58365
94,true,100,55.39,47.33,1520,5,2,7,34.1,58397
95,false,0,54.95,47.55,1494,5,2,7,34.11,58441
96,true,100,55.38,47.33,1517,5,2,7,34.12,58183
97,false,0,54.95,47.55,1491,5,2,7,34.13,58199
98,true,100,55.37,47.34,1517,5,2,7,34.17,58313
99,false,0,54.94,47.55,1487,5,2,7,34.19,58362
100,true,100,55.37,47.34,1509,5,2,7,34.21,58321
